accession,title,projectDescription,submissionDate,publicationDate,doi,license,countries,keywords,projectTags,totalFileDownloads,submitters,labPIs,references,identifiedPTMStrings,organisms
PXD001357,"Direct evidence of milk consumption from ancient human dental calculus, St Helena","This study investigated the consumption of milk products in the archaeological record, utilizing human dental calculus as a reservoir of dietary proteins from archaeological samples from across Eurasia. Protein extraction and generation of tryptic peptides from dental calculus was performed using a filter-aided sample preparation (FASP) protocol, modified for ancient samples, on 92 samples of archaeological dental calculus. Samples were extracted at three laboratories; the Functional Genomics Centre Zürich (FGCZ), the Centre for GeoGenetics at the National History Museum of Denmark, and BioArCh at the University of York. Sample extracts were sequenced (LC-MS/MS) using an LTQ-Orbitrap Velos (FGCZ), a Q-Exactive Hybrid Quadrupole Orbitrap and an LTQ-Orbitrap Elite (Central Proteomics Facility, Target Discovery Institute, Oxford).",2014-10-15,2015-02-25,10.6019/PXD001357,EBI terms of use,United Kingdom,Human; Beta-lactoglobulin; Dental calculus; Dental plaque; Lc-ms/ms,Technical; Metaproteomics,2955,"{'title': 'Dr', 'firstName': 'Jessica', 'lastName': 'Hendy', 'identifier': '10490130', 'affiliation': 'University of York', 'email': 'jessica.hendy@york.ac.uk', 'country': 'United Kingdom', 'orcid': '0000-0002-3718-1058', 'name': 'Jessica Hendy', 'id': '10490130'}","{'title': 'Dr', 'firstName': 'Matthew', 'lastName': 'Collins', 'identifier': '11740100', 'affiliation': 'BioArCh, University of York, UK', 'email': 'matthew.collins@york.ac.uk', 'country': '', 'orcid': '', 'name': 'Matthew Collins', 'id': '11740100'}","{'referenceLine': 'Warinner C, Hendy J, Speller C, Cappellini E, Fischer R, Trachsel C, Arneborg J, Lynnerup N, Craig OE, Swallow DM, Fotakis A, Christensen RJ, Olsen JV, Liebert A, Montalva N, Fiddyment S, Charlton S, Mackie M, Canci A, Bouwman A, Rühli F, Gilbert MT, Collins MJ. Direct evidence of milk consumption from ancient human dental calculus. Sci Rep. 2014 Nov 27;4:7104', 'pubmedID': 25429530, 'doi': '10.1038/srep07104'}","{'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:28', 'name': 'Gln->pyro-Glu', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:7', 'name': 'Deamidated', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:4', 'name': 'Carbamidomethyl', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:35', 'name': 'Oxidation', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:1', 'name': 'Acetyl', 'value': ''}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '9606', 'name': 'Homo sapiens (human)', 'value': ''}"
PXD000035,Surface Proteins of Listeria monocytogenes,Listeria monocytogenes cells (strain LI0521) were digested with trypsin for the identification of surface proteins. The supernatant was filter-sterilized and subjected to identification by LC-MS/MS. Concurrently secreted or shed proteins were identified by isolating filter-sterilized supernatants following incubation of L. monocytogenes cells in buffer without trypsin. This was followed by trypsin digest of the sterilized supernatant and identification by LC-MS/MS.,2012-09-24,2013-08-27,10.6019/PXD000035,EBI terms of use,Canada,Lc-msms; Listeria monocytogenes surface proteins,,367,"{'title': 'Dr', 'firstName': 'Min', 'lastName': 'Lin', 'identifier': '760114', 'affiliation': 'Food Safety Research Branch', 'email': 'cathy.xyzhang@yahoo.ca', 'country': 'Canada', 'orcid': '', 'name': 'Min Lin', 'id': '760114'}","{'title': 'Dr', 'firstName': 'Min', 'lastName': 'Lin', 'identifier': '3017646', 'affiliation': 'Food Safety Research Branch', 'email': 'cathy.xyzhang@yahoo.ca', 'country': '', 'orcid': '', 'name': 'Min Lin', 'id': '3017646'}","{'referenceLine': 'Zhang CX, Creskey MC, Cyr TD, Brooks B, Huang H, Pagotto F, Lin M; Proteomic Identification of Listeria monocytogenes Surface-Associated Proteins., Proteomics, 2013 Aug 23, ', 'pubmedID': 23970489, 'doi': '10.1002/pmic.201200449'}","{'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00425', 'name': 'monohydroxylated residue'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00674', 'name': 'amidated residue'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00397', 'name': 'iodoacetamide derivatized residue'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00400', 'name': 'deamidated residue'}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '1639', 'name': 'Listeria monocytogenes'}"
PXD000030,Annexin A1 interacting proteins in chronic myeloid leukemia KCL22 cells,"In the present study, we used a functional proteomic approach to identify Annexin A1 (Anxa1) interacting proteins in the Philadelphia-positive KCL22 cell line. We focused on Anxa1 because it is one of the major proteins upregulated in imatinib-sensitive KCL22S cells versus imatinib-resistant KCL22R. Our proteomic strategy revealed 21 interactors. Bioinformatic analysis showed that most of these proteins are involved in cell death processes. Among the proteins identified, we studied the interaction of Anxa1 with two phosphatases, Shp1 and Shp2, which were recently identified as biomarkers of imatinib sensitivity in patients affected by chronic myeloid leukemia. Our data open new perspectives in the search for annexin-mediated signaling pathways and may shed light on mechanisms of resistance to imatinib that are unrelated to Bcr-Abl activity. For data analysis, we used the MASCOT software (version 2.4) Peptide Mass Fingerprinting search program (http://www.matrixscience.com) selecting NCBInr aug2010 database (11592891 sequences) (http://www.ncbi. nlm.nih.gov), and the following six parameters: specificity of the proteolytic enzyme used for hydrolysis (trypsin); up to 1 missed cleavage; cysteines such as S-carbamidomethylcysteines; unmodified N- and C-terminal ends; unmodified and oxidized methionines; putative Gln-induced pyroGlu formation; a precursor peptide maximum mass tolerance of 400 ppm, and a maximum fragment mass tolerance of 0.6 Da. Using the probability-based Mowse score, the ion score is 10 x Log(p), p being the probability that an eventual match is a random occurrence. All MS/MS spectra with a MASCOT score of or higher than 41 (p =< 0.05) had a good S/N, so the interpretation of the data was unambiguous. MS/MS spectra of peptides that had a MASCOT score below 41 were inspected manually and included in the statistics only in the presence of at least four continuous y or b ions.",2012-09-19,2013-08-13,10.6019/PXD000030,EBI terms of use,Italy,Annexin a1; Protein interaction; Chronic myeloid leukemia,,695,"{'title': 'Dr', 'firstName': 'Irene', 'lastName': 'Colavita', 'identifier': '760138', 'affiliation': 'Proteomics', 'email': 'colavita@ceinge.unina.it', 'country': 'Italy', 'orcid': '', 'name': 'Irene Colavita', 'id': '760138'}","{'title': 'Dr', 'firstName': 'Irene', 'lastName': 'Colavita', 'identifier': '3017642', 'affiliation': 'Proteomics', 'email': 'colavita@ceinge.unina.it', 'country': '', 'orcid': '', 'name': 'Irene Colavita', 'id': '3017642'}","{'referenceLine': 'Colavita I, Esposito N, Quintarelli C, Nigro E, Pane F, Ruoppolo M, Salvatore F; Identification of Annexin A1 interacting proteins in chronic myeloid leukemia KCL22 cells., Proteomics, 2013 Aug, 13, 16, 2414-8, ', 'pubmedID': 23754495, 'doi': '10.1002/pmic.201200444'}","{'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00425', 'name': 'monohydroxylated residue'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:01160', 'name': 'deaminated residue'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00397', 'name': 'iodoacetamide derivatized residue'}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '9606', 'name': 'Homo sapiens (human)'}"
PXD000027,maize leaf ESI-Q-TOF MS -  Comparative analysis of salt-responsive phosphoproteins in maize leaves using Ti(4+)--IMAC enrichment and ESI-Q-TOF MS,Comparative analysis of salt-responsive phosphoproteins in maize leaves using Ti4+-IMAC enrichment and ESI-Q-TOF MS,2012-09-12,2012-12-14,10.6019/PXD000027,EBI terms of use,United States,Esi-q-tof ms; Maize(cv. nongda 108); Leaf,,258,"{'title': 'Miss', 'firstName': 'Yufeng', 'lastName': 'Hu', 'identifier': '670152', 'affiliation': 'Department of Environmental Sciences & Engineering', 'email': 'yufenghu86@gmail.com', 'country': 'United States', 'orcid': '', 'name': 'Yufeng Hu', 'id': '670152'}","{'title': 'Dr', 'firstName': 'Yufeng', 'lastName': 'Hu', 'identifier': '3017640', 'affiliation': 'Department of Environmental Sciences & Engineering', 'email': 'yufenghu86@gmail.com', 'country': '', 'orcid': '', 'name': 'Yufeng Hu', 'id': '3017640'}","{'referenceLine': 'Hu Y, Guo S, Li X, Ren X; Comparative analysis of salt-responsive phosphoproteins in maize leaves using Ti(4+)--IMAC enrichment and ESI-Q-TOF MS., Electrophoresis, 2013 Feb, 34, 4, 485-92, ', 'pubmedID': 23172588, 'doi': '10.1002/elps.201200381'}","{'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00425', 'name': 'monohydroxylated residue'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00696', 'name': 'phosphorylated residue'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00397', 'name': 'iodoacetamide derivatized residue'}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '4577', 'name': 'Zea mays (maize)'}"
PXD000045,LC-MS/MS of cultured Mycobacterium tuberculosis in a hypoxia/reaeration timecourse,"Mycobacterium tuberculosis samples were collected during oxygen starvation and reaeration. The samples were solubized with urea, digested with trypsin, then desalted with a C18 96-well plate prior to LC-MS/MS analysis.",2012-10-02,2013-06-25,10.6019/PXD000045,EBI terms of use,Canada,Lc-msms; Mycobacterium tuberculosis; Hypoxia,,492,"{'title': 'Mr', 'firstName': 'Gingras', 'lastName': 'Olivier', 'identifier': '760120', 'affiliation': 'Bioinformatic', 'email': 'ogingras@caprion.com', 'country': 'Canada', 'orcid': '', 'name': 'Gingras Olivier', 'id': '760120'}","{'title': 'Dr', 'firstName': 'Gingras', 'lastName': 'Olivier', 'identifier': '3017653', 'affiliation': 'Bioinformatic', 'email': 'ogingras@caprion.com', 'country': '', 'orcid': '', 'name': 'Gingras Olivier', 'id': '3017653'}","{'referenceLine': 'Galagan JE, Minch K, Peterson M, Lyubetskaya A, Azizi E, Sweet L, Gomes A, Rustad T, Dolganov G, Glotova I, Abeel T, Mahwinney C, Kennedy AD, Allard R, Brabant W, Krueger A, Jaini S, Honda B, Yu WH, Hickey MJ, Zucker J, Garay C, Weiner B, Sisk P, Stolte C, Winkler JK, Van de Peer Y, Iazzetti P, Camacho D, Dreyfuss J, Liu Y, Dorhoi A, Mollenkopf HJ, Drogaris P, Lamontagne J, Zhou Y, Piquenot J, Park ST, Raman S, Kaufmann SH, Mohney RP, Chelsky D, Moody DB, Sherman DR, Schoolnik GK; The Mycobacterium tuberculosis regulatory network and hypoxia., Nature, 2013 Jul 11, 499, 7457, 178-83, ', 'pubmedID': 23823726, 'doi': '10.1038/nature12337'}","{'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00394', 'name': 'acetylated residue', 'value': '42.010565'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:01084', 'name': 'iodoacetic acid derivatized amino-terminal residue', 'value': '58.005479'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00425', 'name': 'monohydroxylated residue', 'value': '15.994915'}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '1773', 'name': 'Mycobacterium tuberculosis'}"
PXD001362,"Direct evidence of milk consumption from ancient human dental calculus, UK","This study investigated the consumption of milk products in the archaeological record, utilizing human dental calculus as a reservoir of dietary proteins from archaeological samples from across Eurasia. Protein extraction and generation of tryptic peptides from dental calculus was performed using a filter-aided sample preparation (FASP) protocol, modified for ancient samples, on 92 samples of archaeological dental calculus. Samples were extracted at three laboratories; the Functional Genomics Centre Zürich (FGCZ), the Centre for GeoGenetics at the National History Museum of Denmark, and BioArCh at the University of York. Sample extracts were sequenced (LC-MS/MS) using an LTQ-Orbitrap Velos (FGCZ), a Q-Exactive Hybrid Quadrupole Orbitrap and an LTQ-Orbitrap Elite (Central Proteomics Facility, Target Discovery Institute, Oxford).",2014-09-26,2015-02-26,10.6019/PXD001362,EBI terms of use,United Kingdom,Human; Beta-lactoglobulin; Dental calculus; Dental plaque; Lc-ms/ms,Technical; Metaproteomics,5499,"{'title': 'Dr', 'firstName': 'Jessica', 'lastName': 'Hendy', 'identifier': '10490130', 'affiliation': 'University of York', 'email': 'jessica.hendy@york.ac.uk', 'country': 'United Kingdom', 'orcid': '0000-0002-3718-1058', 'name': 'Jessica Hendy', 'id': '10490130'}","{'title': 'Dr', 'firstName': 'Matthew', 'lastName': 'Collins', 'identifier': '9850100', 'affiliation': 'BioArCh, University of York, UK', 'email': 'matthew.collins@york.ac.uk', 'country': '', 'orcid': '', 'name': 'Matthew Collins', 'id': '9850100'}","{'referenceLine': 'Warinner C, Hendy J, Speller C, Cappellini E, Fischer R, Trachsel C, Arneborg J, Lynnerup N, Craig OE, Swallow DM, Fotakis A, Christensen RJ, Olsen JV, Liebert A, Montalva N, Fiddyment S, Charlton S, Mackie M, Canci A, Bouwman A, Rühli F, Gilbert MT, Collins MJ. Direct evidence of milk consumption from ancient human dental calculus. Sci Rep. 2014 Nov 27;4:7104', 'pubmedID': 25429530, 'doi': '10.1038/srep07104'}","{'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:28', 'name': 'Gln->pyro-Glu', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:7', 'name': 'Deamidated', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:4', 'name': 'Carbamidomethyl', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:35', 'name': 'Oxidation', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:1', 'name': 'Acetyl', 'value': ''}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '9606', 'name': 'Homo sapiens (human)', 'value': ''}"
PXD001359,"Direct evidence of milk consumption from ancient human dental calculus, northern southwest Asia","This study investigated the consumption of milk products in the archaeological record, utilizing human dental calculus as a reservoir of dietary proteins from archaeological samples from across Eurasia. Protein extraction and generation of tryptic peptides from dental calculus was performed using a filter-aided sample preparation (FASP) protocol, modified for ancient samples, on 92 samples of archaeological dental calculus. Samples were extracted at three laboratories; the Functional Genomics Centre Zürich (FGCZ), the Centre for GeoGenetics at the National History Museum of Denmark, and BioArCh at the University of York. Sample extracts were sequenced (LC-MS/MS) using an LTQ-Orbitrap Velos (FGCZ), a Q-Exactive Hybrid Quadrupole Orbitrap and an LTQ-Orbitrap Elite (Central Proteomics Facility, Target Discovery Institute, Oxford).",2014-09-24,2015-02-26,10.6019/PXD001359,EBI terms of use,United Kingdom,Human; Beta-lactoglobulin; Dental calculus; Dental plaque; Lc-ms/ms,Technical; Metaproteomics,570,"{'title': 'Dr', 'firstName': 'Jessica', 'lastName': 'Hendy', 'identifier': '10490130', 'affiliation': 'University of York', 'email': 'jessica.hendy@york.ac.uk', 'country': 'United Kingdom', 'orcid': '0000-0002-3718-1058', 'name': 'Jessica Hendy', 'id': '10490130'}","{'title': 'Dr', 'firstName': 'Matthew', 'lastName': 'Collins', 'identifier': '9810100', 'affiliation': 'BioArCh, University of York, UK', 'email': 'matthew.collins@york.ac.uk', 'country': '', 'orcid': '', 'name': 'Matthew Collins', 'id': '9810100'}","{'referenceLine': 'Warinner C, Hendy J, Speller C, Cappellini E, Fischer R, Trachsel C, Arneborg J, Lynnerup N, Craig OE, Swallow DM, Fotakis A, Christensen RJ, Olsen JV, Liebert A, Montalva N, Fiddyment S, Charlton S, Mackie M, Canci A, Bouwman A, Rühli F, Gilbert MT, Collins MJ. Direct evidence of milk consumption from ancient human dental calculus. Sci Rep. 2014 Nov 27;4:7104', 'pubmedID': 25429530, 'doi': '10.1038/srep07104'}","{'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:28', 'name': 'Gln->pyro-Glu', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:4', 'name': 'Carbamidomethyl', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:35', 'name': 'Oxidation', 'value': ''}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:1', 'name': 'Acetyl', 'value': ''}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '9606', 'name': 'Homo sapiens (human)', 'value': ''}"
PXD000026,Analysis of E2F2 interacting proteins,"In an attempt to identify proteins interacting with transcription factor E2F2, proteins extracted from HA-E2F2 overexpressing HEK293T cells were were subjected to immunoprecipitation (IP) with an anti-HA antibody or, as a negative control (NegCt), with an anti-T antibody. Immunoprecipitated proteins were eluted, digested with trypsin, and the resulting peptides were analyzed by LC-MS/MS. The whole procedure was repeated several times in an attempt to gauge reproducibility (nine replicates of the anti-HA IP and six replicates of the control IP).",2012-09-11,2013-01-18,10.6019/PXD000026,EBI terms of use,Spain,E2f2; Immunoprecipitation; Lc-ms/ms,,1295,"{'title': 'Dr', 'firstName': 'Nerea', 'lastName': 'Osinalde', 'identifier': '740148', 'affiliation': 'Biochemistry and Molecular Biology', 'email': 'nerea.osinalde@ehu.es', 'country': 'Spain', 'orcid': '', 'name': 'Nerea Osinalde', 'id': '740148'}","{'title': 'Dr', 'firstName': 'Nerea', 'lastName': 'Osinalde', 'identifier': '3017639', 'affiliation': 'Biochemistry and Molecular Biology', 'email': 'nerea.osinalde@ehu.es', 'country': '', 'orcid': '', 'name': 'Nerea Osinalde', 'id': '3017639'}","{'referenceLine': 'Osinalde N, Olea M, Mitxelena J, Aloria K, Rodriguez JA, Fullaondo A, Arizmendi JM, Zubiaga AM; The nuclear protein ALY binds to and modulates the activity of transcription factor E2F2., Mol Cell Proteomics, 2013 May, 12, 5, 1087-98, ', 'pubmedID': 23297349, 'doi': '10.1074/mcp.M112.024158'}","{'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00397', 'name': 'iodoacetamide derivatized residue'}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '9606', 'name': 'Homo sapiens (human)'}"
PXD000047,Endogenous Purification Reveals GREB1 as a Key Estrogen Receptor Regulatory Factor,"Estrogen receptor-alpha (ER) is the driving transcription factor in most breast cancers, and its associated proteins can influence drug response, but direct methods for identifying interacting proteins have been limited. We purified endogenous ER using an approach termed RIME (rapid immunoprecipitation mass spectrometry of endogenous proteins) and discovered the interactome under agonist- and antagonist-liganded conditions in breast cancer cells, revealing transcriptional networks in breast cancer. The most estrogen-enriched ER interactor is GREB1, a potential clinical biomarker with no known function. GREB1 is shown to be a chromatin-bound ER coactivator and is essential for ER-mediated transcription, because it stabilizes interactions between ER and additional cofactors. We show a GREB1-ER interaction in three xenograft tumors, and using a directed protein-protein approach, we find GREB1-ER interactions in half of ER+ primary breast cancers. This finding is supported by histological expression of GREB1, which shows that GREB1 is expressed in half of ER+ cancers, and predicts good clinical outcome. These findings reveal an unexpected role for GREB1 as an estrogen-specific ER cofactor that is expressed in drug-sensitive contexts.        Additional information: All microarray data have been deposited in the GEO database with the accession number GSE37386. All ChIP-seq data have been deposited in the GEO database with the accession number GSE41561.         RawMSdata files were processed using Proteome Discoverer v.1.3 (Thermo Scientific). Processed files were searched against the SwissProt human database using the Mascot search engine version 2.3.0. Searches were done with tryptic specificity allowing up to one miscleavage and a tolerance on mass measurement of 10 ppm in MS mode and 0.6 Da for MS/MS ions. Structure modifications allowed were oxidized methionine, and deamidation of asparagine and glutamine residues, which were searched as variable modifications. Using a reversed decoy database, false discovery rate (FDR) was less than 1%. Detailed results including peptide sequences, peptide scores, ion scores, expect values, and Mascot scores have been included in Table S1. SILAC data were analyzed using Proteome Discoverer v.1.3. This analysis only uses unique peptides for ratio analysis. The resulting fold-change ratios for proteins found in both replicates were then converted into log fold-change ratios as represented in the figures. In a few instances where protein ratios were absent due to signal from only one of the two channels, these were ranked highest in the log fold-change table following manual inspection of the raw data (MS and MS/MS) to confirm specificity to a single label.",2012-10-05,2013-08-09,10.6019/PXD000047,EBI terms of use,United Kingdom,Rime,,591,"{'title': 'Mr', 'firstName': 'Hisham', 'lastName': 'Mohammed', 'identifier': '680100', 'affiliation': 'Oncology', 'email': 'hisham.mohammed@cancer.org.uk', 'country': 'United Kingdom', 'orcid': '', 'name': 'Hisham Mohammed', 'id': '680100'}","{'title': 'Dr', 'firstName': 'Hisham', 'lastName': 'Mohammed', 'identifier': '3017655', 'affiliation': 'Oncology', 'email': 'hisham.mohammed@cancer.org.uk', 'country': '', 'orcid': '', 'name': 'Hisham Mohammed', 'id': '3017655'}","{'referenceLine': ""Mohammed H, D'Santos C, Serandour AA, Ali HR, Brown GD, Atkins A, Rueda OM, Holmes KA, Theodorou V, Robinson JL, Zwart W, Saadi A, Ross-Innes CS, Chin SF, Menon S, Stingl J, Palmieri C, Caldas C, Carroll JS; Endogenous purification reveals GREB1 as a key estrogen receptor regulatory factor., Cell Rep, 2013 Feb 21, 3, 2, 342-9, "", 'pubmedID': 23403292, 'doi': '10.1016/j.celrep.2013.01.010'}","{'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00425', 'name': 'monohydroxylated residue'}; {'@type': 'CvParam', 'cvLabel': 'MOD', 'accession': 'MOD:00400', 'name': 'deamidated residue'}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '9606', 'name': 'Homo sapiens (human)'}"
PXD002694,Direct and Absolute Quantification of over 1800 Yeast Proteins via Selected Reaction Monitoring HUB_MAN C4PR_LIV,"Defining intracellular protein concentration is critical in molecular systems biology. Although strategies for determining relative protein changes are available, defining robust absolute values in copies per cell has proven significantly more challenging. Here we present a reference dataset quantifying over 1800 S. cerevisiae proteins by direct means using protein-specific stable-isotope labelled internal standards and selected reaction monitoring (SRM) mass spectrometry, far exceeding any previous study. This was achieved by careful design of over 100 QconCAT recombinant proteins as standards, defining 1167 proteins in terms of copies per cell and upper limits on a further 668, with robust CVs routinely less than 20%. The SRM-derived proteome is compared with existing quantitative data sets, highlighting the disparities between methodologies. Coupled with a quantification of the transcriptome by RNA-seq taken from the same cells, these data enable revised estimates of several fundamental molecular parameters: a total protein count of ~100 million molecules-per-cell, a median of ~1000 proteins-per-transcript, and a linear model of protein translation explaining 70% of the variance in translation rate. This work contributes a ‘gold-standard’ reference yeast proteome (including 531 proteins with high quality, dual peptide quantification) that can be widely used in systems models and for other comparative studies.",2015-08-10,2015-12-11,10.6019/PXD002694,EBI terms of use,United Kingdom,Absolute quantification; selected reaction monitoring; srm; stable-isotope labelling; yeast; tandem quadrupole; qconcat,Biological; Peptide observability; Machine learning; Benchmarking,1508,"{'title': 'Dr', 'firstName': 'Philip', 'lastName': 'Brownridge', 'identifier': '19980104', 'affiliation': 'University of Liverpool', 'email': 'philipjb@liv.ac.uk', 'country': 'United Kingdom', 'orcid': '0000-0003-0105-6594', 'name': 'Philip Brownridge', 'id': '19980104'}","{'title': 'Dr', 'firstName': 'Rob', 'lastName': 'Beynon', 'identifier': '27910100', 'affiliation': 'Head of Biochemistry  Centre for Proteome Research G44, Biosciences Building| Institute of Integrative Biology University of Liverpool Crown Street   Liverpool  L69 7ZB', 'email': 'rbeynon@liverpool.ac.uk', 'country': '', 'orcid': '', 'name': 'Rob Beynon', 'id': '27910100'}","{'referenceLine': 'Lawless C, Holman SW, Brownridge P, Lanthaler K, Harman VM, Watkins R, Hammond DE, Miller RL, Sims PF, Grant CM, Eyers CE, Beynon RJ, Hubbard SJ. Direct and Absolute Quantification of over 1800 Yeast Proteins via Selected Reaction Monitoring. Mol Cell Proteomics. 2016 Jan 10. pii: mcp.M115.054288', 'pubmedID': 26750110}","{'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:4', 'name': 'Carbamidomethyl'}; {'@type': 'CvParam', 'cvLabel': 'UNIMOD', 'accession': 'UNIMOD:35', 'name': 'Oxidation'}","{'@type': 'CvParam', 'cvLabel': 'NEWT', 'accession': '4932', 'name': ""Saccharomyces cerevisiae (baker's yeast)""}"
